"region","alder","statistikkvariabel","måned","value"
"Rindal","15-74 år","Personer registrert helt arbeidsledige","2016M11",NA
"Rindal","15-29 år","Personer registrert helt arbeidsledige","2010M11",NA
"Rindal","15-29 år","Personer registrert helt arbeidsledige","2016M11",NA
"Rindal","30-74 år","Personer registrert helt arbeidsledige","2010M11",NA
"Halsa","15-74 år","Personer registrert helt arbeidsledige","2016M11",NA
"Halsa","15-29 år","Personer registrert helt arbeidsledige","2016M11",NA
"Halsa","15-29 år","Personer registrert helt arbeidsledige","2017M11",NA
"Halsa","30-74 år","Personer registrert helt arbeidsledige","2017M11",NA
"Trøndelag - Trööndelage","15-74 år","Personer registrert helt arbeidsledige","2009M11",NA
"Trøndelag - Trööndelage","15-74 år","Personer registrert helt arbeidsledige","2010M11",NA
"Trøndelag - Trööndelage","15-74 år","Personer registrert helt arbeidsledige","2011M11",NA
"Trøndelag - Trööndelage","15-74 år","Personer registrert helt arbeidsledige","2012M11",NA
"Trøndelag - Trööndelage","15-74 år","Personer registrert helt arbeidsledige","2013M11",NA
"Trøndelag - Trööndelage","15-74 år","Personer registrert helt arbeidsledige","2014M11",NA
"Trøndelag - Trööndelage","15-74 år","Personer registrert helt arbeidsledige","2015M11",NA
"Trøndelag - Trööndelage","15-74 år","Personer registrert helt arbeidsledige","2016M11",NA
"Trøndelag - Trööndelage","15-74 år","Personer registrert helt arbeidsledige","2017M11",NA
"Trøndelag - Trööndelage","15-29 år","Personer registrert helt arbeidsledige","2009M11",NA
"Trøndelag - Trööndelage","15-29 år","Personer registrert helt arbeidsledige","2010M11",NA
"Trøndelag - Trööndelage","15-29 år","Personer registrert helt arbeidsledige","2011M11",NA
"Trøndelag - Trööndelage","15-29 år","Personer registrert helt arbeidsledige","2012M11",NA
"Trøndelag - Trööndelage","15-29 år","Personer registrert helt arbeidsledige","2013M11",NA
"Trøndelag - Trööndelage","15-29 år","Personer registrert helt arbeidsledige","2014M11",NA
"Trøndelag - Trööndelage","15-29 år","Personer registrert helt arbeidsledige","2015M11",NA
"Trøndelag - Trööndelage","15-29 år","Personer registrert helt arbeidsledige","2016M11",NA
"Trøndelag - Trööndelage","15-29 år","Personer registrert helt arbeidsledige","2017M11",NA
"Trøndelag - Trööndelage","30-74 år","Personer registrert helt arbeidsledige","2009M11",NA
"Trøndelag - Trööndelage","30-74 år","Personer registrert helt arbeidsledige","2010M11",NA
"Trøndelag - Trööndelage","30-74 år","Personer registrert helt arbeidsledige","2011M11",NA
"Trøndelag - Trööndelage","30-74 år","Personer registrert helt arbeidsledige","2012M11",NA
"Trøndelag - Trööndelage","30-74 år","Personer registrert helt arbeidsledige","2013M11",NA
"Trøndelag - Trööndelage","30-74 år","Personer registrert helt arbeidsledige","2014M11",NA
"Trøndelag - Trööndelage","30-74 år","Personer registrert helt arbeidsledige","2015M11",NA
"Trøndelag - Trööndelage","30-74 år","Personer registrert helt arbeidsledige","2016M11",NA
"Trøndelag - Trööndelage","30-74 år","Personer registrert helt arbeidsledige","2017M11",NA
"Sør-Trøndelag","15-74 år","Personer registrert helt arbeidsledige","2018M11",NA
"Sør-Trøndelag","15-74 år","Personer registrert helt arbeidsledige","2019M11",NA
"Sør-Trøndelag","15-29 år","Personer registrert helt arbeidsledige","2018M11",NA
"Sør-Trøndelag","15-29 år","Personer registrert helt arbeidsledige","2019M11",NA
"Sør-Trøndelag","30-74 år","Personer registrert helt arbeidsledige","2018M11",NA
"Sør-Trøndelag","30-74 år","Personer registrert helt arbeidsledige","2019M11",NA
"Snillfjord","15-74 år","Personer registrert helt arbeidsledige","2009M11",NA
"Snillfjord","15-74 år","Personer registrert helt arbeidsledige","2013M11",NA
"Snillfjord","15-74 år","Personer registrert helt arbeidsledige","2014M11",NA
"Snillfjord","15-74 år","Personer registrert helt arbeidsledige","2016M11",NA
"Snillfjord","15-74 år","Personer registrert helt arbeidsledige","2019M11",NA
"Snillfjord","15-29 år","Personer registrert helt arbeidsledige","2009M11",NA
"Snillfjord","15-29 år","Personer registrert helt arbeidsledige","2010M11",NA
"Snillfjord","15-29 år","Personer registrert helt arbeidsledige","2011M11",NA
"Snillfjord","15-29 år","Personer registrert helt arbeidsledige","2012M11",NA
"Snillfjord","15-29 år","Personer registrert helt arbeidsledige","2013M11",NA
"Snillfjord","15-29 år","Personer registrert helt arbeidsledige","2014M11",NA
"Snillfjord","15-29 år","Personer registrert helt arbeidsledige","2016M11",NA
"Snillfjord","15-29 år","Personer registrert helt arbeidsledige","2017M11",NA
"Snillfjord","15-29 år","Personer registrert helt arbeidsledige","2018M11",NA
"Snillfjord","15-29 år","Personer registrert helt arbeidsledige","2019M11",NA
"Snillfjord","30-74 år","Personer registrert helt arbeidsledige","2010M11",NA
"Snillfjord","30-74 år","Personer registrert helt arbeidsledige","2011M11",NA
"Snillfjord","30-74 år","Personer registrert helt arbeidsledige","2016M11",NA
"Snillfjord","30-74 år","Personer registrert helt arbeidsledige","2017M11",NA
"Snillfjord","30-74 år","Personer registrert helt arbeidsledige","2018M11",NA
"Agdenes","15-29 år","Personer registrert helt arbeidsledige","2018M11",NA
"Agdenes","30-74 år","Personer registrert helt arbeidsledige","2018M11",NA
"Åfjord","15-74 år","Personer registrert helt arbeidsledige","2017M11",NA
"Åfjord","15-29 år","Personer registrert helt arbeidsledige","2017M11",NA
"Roan","15-74 år","Personer registrert helt arbeidsledige","2010M11",NA
"Roan","15-74 år","Personer registrert helt arbeidsledige","2017M11",NA
"Roan","15-29 år","Personer registrert helt arbeidsledige","2010M11",NA
"Roan","15-29 år","Personer registrert helt arbeidsledige","2011M11",NA
"Roan","15-29 år","Personer registrert helt arbeidsledige","2017M11",NA
"Roan","15-29 år","Personer registrert helt arbeidsledige","2018M11",NA
"Roan","30-74 år","Personer registrert helt arbeidsledige","2011M11",NA
"Roan","30-74 år","Personer registrert helt arbeidsledige","2018M11",NA
"Osen","15-74 år","Personer registrert helt arbeidsledige","2012M11",NA
"Osen","15-74 år","Personer registrert helt arbeidsledige","2014M11",NA
"Osen","15-74 år","Personer registrert helt arbeidsledige","2016M11",NA
"Osen","15-74 år","Personer registrert helt arbeidsledige","2017M11",NA
"Osen","15-74 år","Personer registrert helt arbeidsledige","2019M11",NA
"Osen","15-29 år","Personer registrert helt arbeidsledige","2012M11",NA
"Osen","15-29 år","Personer registrert helt arbeidsledige","2013M11",NA
"Osen","15-29 år","Personer registrert helt arbeidsledige","2014M11",NA
"Osen","15-29 år","Personer registrert helt arbeidsledige","2016M11",NA
"Osen","15-29 år","Personer registrert helt arbeidsledige","2017M11",NA
"Osen","15-29 år","Personer registrert helt arbeidsledige","2019M11",NA
"Osen","30-74 år","Personer registrert helt arbeidsledige","2013M11",NA
"Osen","30-74 år","Personer registrert helt arbeidsledige","2016M11",NA
"Osen","30-74 år","Personer registrert helt arbeidsledige","2017M11",NA
"Rennebu","15-74 år","Personer registrert helt arbeidsledige","2017M11",NA
"Rennebu","15-29 år","Personer registrert helt arbeidsledige","2017M11",NA
"Holtålen","15-74 år","Personer registrert helt arbeidsledige","2012M11",NA
"Holtålen","15-74 år","Personer registrert helt arbeidsledige","2015M11",NA
"Holtålen","15-29 år","Personer registrert helt arbeidsledige","2012M11",NA
"Holtålen","15-29 år","Personer registrert helt arbeidsledige","2015M11",NA
"Holtålen","15-29 år","Personer registrert helt arbeidsledige","2017M11",NA
"Holtålen","30-74 år","Personer registrert helt arbeidsledige","2017M11",NA
"Tydal","15-74 år","Personer registrert helt arbeidsledige","2009M11",NA
"Tydal","15-74 år","Personer registrert helt arbeidsledige","2014M11",NA
"Tydal","15-74 år","Personer registrert helt arbeidsledige","2019M11",NA
"Tydal","15-29 år","Personer registrert helt arbeidsledige","2009M11",NA
"Tydal","15-29 år","Personer registrert helt arbeidsledige","2011M11",NA
"Tydal","15-29 år","Personer registrert helt arbeidsledige","2013M11",NA
"Tydal","15-29 år","Personer registrert helt arbeidsledige","2014M11",NA
"Tydal","15-29 år","Personer registrert helt arbeidsledige","2017M11",NA
